## reporting unit PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANDR03_67	SD	0.00004518	0.00000000	0.00000000	0.02608347	0.02608075
KANDR03_68	Posterior.Mean	0.00005588	0.00000000	0.00000000	0.98849648	0.01144764
KANDR03_68	SD	0.00000908	0.00000000	0.00000000	0.00149319	0.00148725
KANDR03_69	Posterior.Mean	0.00003120	0.00000000	0.00000000	0.84607783	0.15389097
KANDR03_69	SD	0.00000568	0.00000000	0.00000000	0.01952474	0.01952208
KANDR03_70	Posterior.Mean	0.00018896	0.00000000	0.00000317	0.81951541	0.18029246
KANDR03_70	SD	0.00003241	0.00000000	0.00000041	0.01625719	0.01624556
KANDR03_71	Posterior.Mean	0.00007170	0.00000000	0.00000000	0.12158070	0.87834760
KANDR03_71	SD	0.00001220	0.00000000	0.00000000	0.01271157	0.01271416
KANDR03_72	Posterior.Mean	0.00010900	0.00000000	0.00000000	0.18897544	0.81091556
KANDR03_72	SD	0.00001546	0.00000000	0.00000000	0.02097006	0.02097293
KANDR03_73	Posterior.Mean	0.00216717	0.00000000	0.00000000	0.52151475	0.47631808
KANDR03_73	SD	0.00033222	0.00000000	0.00000000	0.03205716	0.03198295
KANDR03_74	Posterior.Mean	0.00000276	0.00000000	0.00000000	0.99848520	0.00151204
KANDR03_74	SD	0.00000049	0.00000000	0.00000000	0.00029547	0.00029523
KANDR03_75	Posterior.Mean	0.00044366	0.00000000	0.00000001	0.99005744	0.00949889
KANDR03_75	SD	0.00007446	0.00000000	0.00000000	0.00138077	0.00133507
KANDR03_76	Posterior.Mean	0.00132963	0.00000000	0.00000001	0.89310064	0.10556972
KANDR03_76	SD	0.00023827	0.00000000	0.00000000	0.01367185	0.01356540
KANDR03_77	Posterior.Mean	0.00000183	0.00000000	0.00000000	0.99775683	0.00224134
KANDR03_77	SD	0.00000027	0.00000000	0.00000000	0.00037027	0.00037010
KANDR03_78	Posterior.Mean	0.05065125	0.00000000	0.00000000	0.54141080	0.40793795
KANDR03_78	SD	0.00834701	0.00000000	0.00000000	0.04685018	0.04941767
KANDR03_79	Posterior.Mean	0.00074108	0.00000000	0.00000000	0.98711209	0.01214683
KANDR03_79	SD	0.00011853	0.00000000	0.00000000	0.00194610	0.00187331
KANDR03_80	Posterior.Mean	0.00019433	0.00000000	0.00000000	0.90407609	0.09572958
KANDR03_80	SD	0.00003527	0.00000000	0.00000000	0.01138876	0.01136832
KANDR03_81	Posterior.Mean	0.00384147	0.00000000	0.00000000	0.97007489	0.02608364
KANDR03_81	SD	0.00059514	0.00000000	0.00000000	0.00392779	0.00348289
KANDR03_82	Posterior.Mean	0.00632130	0.00000000	0.00000000	0.12409134	0.86958736
KANDR03_82	SD	0.00084733	0.00000000	0.00000000	0.01463928	0.01471518
KANDR03_83	Posterior.Mean	0.00016575	0.00000000	0.00000000	0.97870092	0.02113333
KANDR03_83	SD	0.00003146	0.00000000	0.00000000	0.00311159	0.00309402
KANDR03_84	Posterior.Mean	0.00020779	0.00000000	0.00000000	0.65812864	0.34166356
KANDR03_84	SD	0.00003402	0.00000000	0.00000000	0.02853569	0.02852162
KANDR03_85	Posterior.Mean	0.00012382	0.00000000	0.00000000	0.96025679	0.03961939
KANDR03_85	SD	0.00002325	0.00000000	0.00000000	0.00579971	0.00578790
KANDR03_86	Posterior.Mean	0.00000570	0.00000000	0.00000000	0.97769870	0.02229560
KANDR03_86	SD	0.00000095	0.00000000	0.00000000	0.00405237	0.00405192
KANDR03_87	Posterior.Mean	0.00383145	0.00000000	0.00000000	0.87591375	0.12025480
KANDR03_87	SD	0.00062607	0.00000000	0.00000000	0.01532862	0.01512586
KANDR03_88	Posterior.Mean	0.00036487	0.00000000	0.00000000	0.16575073	0.83388439
KANDR03_88	SD	0.00005208	0.00000000	0.00000000	0.02091894	0.02093968
KANDR03_89	Posterior.Mean	0.00001044	0.00000000	0.00000000	0.91150249	0.08848707
KANDR03_89	SD	0.00000162	0.00000000	0.00000000	0.01114984	0.01114883
KANDR03_90	Posterior.Mean	0.00004523	0.00000000	0.00000000	0.96817517	0.03177960
KANDR03_90	SD	0.00000854	0.00000000	0.00000000	0.00472160	0.00471725
KANVI07_1	Posterior.Mean	0.00001821	0.00000000	0.00000000	0.31209676	0.68788503
KANVI07_1	SD	0.00000354	0.00000000	0.00000000	0.04577664	0.04577713
KANVI07_2	Posterior.Mean	0.00672215	0.00000000	0.00002311	0.67064936	0.32260539
KANVI07_2	SD	0.00073737	0.00000000	0.00000268	0.02602260	0.02562593
KANVI07_3	Posterior.Mean	0.00024045	0.00000000	0.00000000	0.87711179	0.12264775
KANVI07_3	SD	0.00004856	0.00000000	0.00000000	0.02138785	0.02136070
KANVI07_4	Posterior.Mean	0.00005152	0.00000000	0.00000022	0.99982481	0.00012345
KANVI07_4	SD	0.00001100	0.00000000	0.00000004	0.00003251	0.00002383
KANVI07_5	Posterior.Mean	0.00001186	0.00000000	0.00000000	0.88909582	0.11089232
KANVI07_5	SD	0.00000215	0.00000000	0.00000000	0.01871766	0.01871622
KANVI07_6	Posterior.Mean	0.00000025	0.00000000	0.00000000	0.99993304	0.00006671
KANVI07_6	SD	0.00000005	0.00000000	0.00000000	0.00001274	0.00001270
KANVI07_7	Posterior.Mean	0.00007168	0.00000000	0.00000000	0.99948932	0.00043900
KANVI07_7	SD	0.00001595	0.00000000	0.00000000	0.00009141	0.00007936
KANVI07_8	Posterior.Mean	0.01391551	0.00000000	0.00000022	0.92675387	0.05933041
KANVI07_8	SD	0.00289109	0.00000000	0.00000004	0.01206768	0.00998263
KANVI07_9	Posterior.Mean	0.00011103	0.00000000	0.00000000	0.91741117	0.08247780
KANVI07_9	SD	0.00002200	0.00000000	0.00000000	0.01435624	0.01434244
KANVI07_10	Posterior.Mean	0.00000004	0.00000000	0.00000000	0.99999973	0.00000023
KANVI07_10	SD	0.00000001	0.00000000	0.00000000	0.00000004	0.00000005
