## trace file of reporting unit ZSum values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
7280	254	74	272	244	1431
7300	248	74	270	225	1458
7320	254	74	271	253	1423
7340	247	74	272	232	1450
7360	253	74	271	229	1448
7380	243	74	270	241	1447
7400	253	74	271	239	1438
7420	250	74	270	256	1425
7440	254	74	271	236	1440
7460	248	74	270	244	1439
7480	250	74	271	240	1440
7500	251	74	270	234	1446
7520	246	74	271	244	1440
7540	249	74	272	237	1443
7560	261	74	271	236	1433
7580	255	74	270	237	1439
7600	255	74	271	234	1441
7620	256	74	271	234	1440
7640	254	74	272	233	1442
7660	252	74	271	249	1429
7680	251	74	272	225	1453
7700	259	74	270	232	1440
7720	256	74	271	231	1443
7740	244	74	271	242	1444
7760	247	74	270	231	1453
7780	251	74	271	243	1436
7800	250	74	271	243	1437
7820	259	74	272	234	1436
7840	255	74	271	246	1429
7860	246	74	271	227	1457
7880	246	74	271	236	1448
7900	255	74	271	247	1428
7920	254	74	270	237	1440
7940	256	74	270	231	1444
7960	252	74	271	236	1442
7980	248	74	270	239	1444
8000	245	74	271	231	1454
8020	245	74	271	233	1452
8040	259	74	271	240	1431
8060	263	74	270	234	1434
8080	253	74	271	243	1434
8100	254	74	270	233	1444
8120	245	74	270	240	1446
8140	255	74	270	234	1442
8160	255	74	270	237	1439
8180	252	74	271	239	1439
8200	249	74	271	227	1454
8220	252	74	270	244	1435
8240	249	74	270	242	1440
8260	256	74	271	231	1443
8280	245	74	272	235	1449
8300	248	74	271	221	1461
8320	244	74	271	247	1439
8340	252	74	270	248	1431
8360	249	74	270	237	1445
8380	251	74	270	238	1442
8400	259	74	271	243	1428
8420	250	74	271	229	1451
8440	250	74	270	234	1447
8460	253	74	271	243	1434
8480	254	74	272	235	1440
8500	253	74	270	255	1423
8520	253	74	271	244	1433
8540	243	74	271	237	1450
8560	244	74	272	244	1441
8580	245	74	271	236	1449
8600	249	74	271	243	1438
8620	248	74	271	236	1446
8640	261	74	271	216	1453
8660	243	74	271	245	1442
8680	256	74	270	228	1447
8700	255	74	270	236	1440
8720	255	74	272	259	1415
8740	251	74	271	251	1428
8760	242	74	271	247	1441
8780	259	74	271	233	1438
8800	240	74	271	253	1437
8820	261	74	272	223	1445
8840	254	74	271	237	1439
8860	258	74	271	234	1438
8880	244	74	271	234	1452
8900	254	74	272	238	1437
8920	250	74	271	244	1436
8940	247	74	270	246	1438
8960	260	74	271	231	1439
8980	246	74	270	232	1453
9000	251	74	270	238	1442
9020	255	74	271	238	1437
9040	254	74	270	236	1441
9060	245	74	270	245	1441
9080	258	74	271	233	1439
9100	248	74	270	241	1442
9120	249	74	271	244	1437
9140	244	74	271	251	1435
9160	247	74	271	227	1456
9180	256	74	270	228	1447
9200	251	74	271	237	1442
9220	256	74	271	240	1434
9240	257	74	270	244	1430
9260	253	74	272	235	1441
9280	246	74	271	242	1442
9300	252	74	271	244	1434
9320	253	74	272	227	1449
9340	252	74	271	229	1449
9360	254	74	272	243	1432
9380	250	74	271	234	1446
9400	246	74	271	237	1447
9420	251	74	270	236	1444
9440	249	74	271	235	1446
9460	251	74	271	212	1467
9480	252	74	271	242	1436
9500	249	74	271	226	1455
9520	244	74	270	246	1441
9540	257	74	270	245	1429
9560	253	74	270	241	1437
9580	255	74	271	234	1441
9600	253	74	270	244	1434
9620	244	74	271	247	1439
9640	253	74	272	237	1439
9660	243	74	272	227	1459
9680	248	74	271	240	1442
9700	259	74	270	240	1432
9720	249	74	272	232	1448
9740	245	74	270	235	1451
9760	250	74	270	236	1445
9780	251	74	271	240	1439
9800	244	74	270	254	1433
9820	252	74	270	245	1434
9840	256	74	271	231	1443
9860	249	74	270	248	1434
9880	257	74	270	245	1429
9900	247	74	271	254	1429
9920	258	74	271	238	1434
9940	242	74	271	243	1445
9960	256	74	271	234	1440
9980	260	74	272	213	1456
10000	249	74	271	232	1449
10020	258	74	270	248	1425
10040	245	74	271	237	1448
10060	247	74	271	240	1443
10080	257	74	271	229	1444
10100	257	74	271	230	1443
10120	250	74	270	229	1452
10140	249	74	271	234	1447
10160	247	74	271	238	1445
10180	257	74	270	235	1439
10200	240	74	271	235	1455
10220	257	74	271	242	1431
10240	249	74	270	255	1427
10260	258	74	270	234	1439
10280	261	74	271	239	1430
10300	258	74	271	221	1451
10320	249	74	271	244	1437
10340	252	74	270	247	1432
10360	248	74	270	216	1467
10380	247	74	270	230	1454
10400	244	74	270	240	1447
10420	255	74	270	238	1438
10440	241	74	271	247	1442
10460	245	74	271	232	1453
10480	245	74	271	218	1467
10500	246	74	270	239	1446
10520	259	74	270	237	1435
10540	255	74	272	217	1457
10560	245	74	270	233	1453
10580	258	74	270	240	1433
10600	258	74	271	240	1432
10620	256	74	272	226	1447
10640	256	74	272	253	1420
10660	251	74	271	248	1431
10680	251	74	271	227	1452
10700	253	74	271	233	1444
10720	250	74	271	241	1439
10740	255	74	271	243	1432
10760	246	74	271	248	1436
10780	244	74	270	237	1450
10800	253	74	270	237	1441
10820	243	74	270	231	1457
10840	259	74	270	248	1424
10860	257	74	270	240	1434
10880	252	74	271	222	1456
10900	261	74	271	241	1428
10920	248	74	271	240	1442
10940	246	74	271	217	1467
10960	252	74	271	234	1444
10980	253	74	271	242	1435
11000	263	74	272	234	1432
11020	248	74	271	244	1438
11040	259	74	270	247	1425
11060	247	74	270	239	1445
11080	242	74	272	245	1442
11100	246	74	272	251	1432
11120	243	74	271	225	1462
11140	250	74	271	228	1452
11160	242	74	271	252	1436
11180	256	74	272	244	1429
11200	241	74	272	240	1448
11220	246	74	271	249	1435
11240	246	74	271	254	1430
11260	246	74	272	235	1448
11280	258	74	271	239	1433
11300	257	74	272	242	1430
11320	251	74	270	232	1448
11340	248	74	271	243	1439
11360	239	74	271	252	1439
11380	255	74	270	228	1448
11400	252	74	271	224	1454
11420	262	74	270	236	1433
11440	253	74	271	227	1450
11460	250	74	272	241	1438
11480	244	74	271	225	1461
11500	256	74	271	241	1433
11520	249	74	272	231	1449
11540	256	73	272	227	1447
11560	253	74	271	233	1444
11580	245	74	270	233	1453
11600	247	74	270	247	1437
11620	252	74	272	244	1433
11640	250	74	271	253	1427
11660	246	74	271	233	1451
11680	240	74	269	252	1440
11700	254	74	271	241	1435
11720	250	74	271	237	1443
11740	249	74	271	241	1440
11760	243	74	271	242	1445
11780	254	74	272	235	1440
11800	248	74	271	247	1435
11820	242	74	271	239	1449
11840	250	74	270	228	1453
11860	248	74	272	248	1433
11880	253	74	271	244	1433
11900	248	74	271	253	1429
11920	242	74	272	240	1447
11940	254	74	271	243	1433
11960	252	74	271	228	1450
11980	248	74	272	248	1433
12000	248	74	272	231	1450
12020	252	74	270	230	1449
12040	241	74	272	243	1445
12060	254	74	270	232	1445
12080	253	74	270	247	1431
12100	260	74	271	247	1423
12120	246	74	271	247	1437
12140	237	74	271	250	1443
12160	249	74	272	238	1442
12180	246	74	271	244	1440
12200	247	74	271	252	1431
12220	248	74	273	245	1435
12240	245	74	270	236	1450
12260	244	74	271	242	1444
12280	256	74	271	238	1436
12300	247	74	270	246	1438
12320	250	74	270	236	1445
12340	260	74	271	229	1441
12360	250	74	271	221	1459
12380	252	74	271	225	1453
12400	247	74	270	242	1442
12420	246	74	270	228	1457
12440	254	74	270	234	1443
12460	257	74	270	258	1416
12480	264	74	271	245	1421
12500	253	74	271	238	1439
12520	257	74	271	241	1432
12540	244	74	271	229	1457
12560	241	74	271	230	1459
12580	254	74	271	242	1434
12600	255	74	271	230	1445
12620	249	74	270	251	1431
12640	250	74	270	229	1452
12660	255	74	271	244	1431
12680	255	74	271	245	1430
12700	249	74	271	253	1428
12720	252	74	272	228	1449
12740	259	74	271	238	1433
12760	256	74	271	257	1417
12780	247	74	272	235	1447
12800	240	74	271	232	1458
12820	259	74	271	254	1417
12840	243	74	271	226	1461
12860	244	74	271	258	1428
12880	245	74	270	252	1434
12900	248	74	271	235	1447
12920	246	74	271	252	1432
12940	251	74	270	251	1429
12960	251	74	272	223	1455
12980	251	74	270	238	1442
13000	244	74	271	241	1445
13020	243	74	270	242	1446
13040	247	74	271	232	1451
13060	246	74	270	231	1454
13080	253	74	271	229	1448
13100	240	74	271	240	1450
13120	248	74	272	231	1450
13140	248	74	271	260	1422
13160	246	74	271	243	1441
13180	249	74	270	243	1439
13200	256	74	272	229	1444
13220	249	74	270	231	1451
13240	252	74	270	249	1430
13260	255	74	272	227	1447
13280	251	74	271	250	1429
13300	254	74	271	255	1421
13320	249	74	272	235	1445
13340	251	74	270	251	1429
13360	250	74	271	233	1447
13380	257	74	271	238	1435
13400	247	74	271	238	1445
13420	256	74	270	233	1442
13440	243	74	270	236	1452
13460	256	74	270	233	1442
13480	260	74	271	233	1437
13500	247	74	271	222	1461
13520	262	74	271	230	1438
13540	247	74	271	218	1465
13560	252	74	271	245	1433
13580	242	74	271	254	1434
13600	242	74	271	243	1445
13620	251	74	272	233	1445
13640	243	74	271	263	1424
13660	250	74	271	242	1438
13680	245	74	270	249	1437
13700	246	74	271	235	1449
13720	251	74	271	237	1442
13740	248	74	272	250	1431
13760	253	74	271	245	1432
13780	260	74	271	230	1440
13800	248	74	271	251	1431
13820	250	74	271	227	1453
13840	245	74	272	246	1438
13860	244	74	271	253	1433
13880	247	74	271	247	1436
13900	255	74	271	237	1438
13920	255	74	271	246	1429
13940	248	74	271	229	1453
13960	262	74	271	237	1431
13980	241	74	271	237	1452
14000	245	74	270	241	1445
14020	252	74	271	236	1442
14040	254	74	272	221	1454
14060	241	74	271	245	1444
14080	251	74	270	244	1436
14100	250	74	272	228	1451
14120	259	74	271	223	1448
14140	242	74	271	234	1454
14160	241	74	271	260	1429
14180	240	74	271	232	1458
14200	244	74	272	242	1443
14220	240	74	271	249	1441
14240	255	74	271	235	1440
14260	236	74	271	250	1444
14280	242	74	270	246	1443
14300	256	74	271	235	1439
14320	248	74	270	255	1428
14340	249	74	271	251	1430
14360	248	74	271	239	1443
14380	254	74	270	239	1438
14400	255	74	271	249	1426
14420	257	74	272	235	1437
14440	255	74	271	249	1426
14460	244	74	272	259	1426
14480	256	74	270	235	1440
14500	256	74	270	230	1445
14520	250	74	271	219	1461
14540	245	74	272	235	1449
14560	254	74	270	234	1443
14580	256	74	271	234	1440
14600	247	74	270	227	1457
14620	253	74	271	232	1445
14640	264	74	271	237	1429
14660	252	74	271	225	1453
14680	250	74	271	240	1440
14700	238	74	271	233	1459
14720	246	74	271	229	1455
14740	249	74	270	239	1443
14760	245	74	271	227	1458
14780	259	74	271	231	1440
14800	253	74	271	230	1447
14820	254	74	272	232	1443
14840	241	74	271	238	1451
14860	252	74	270	261	1418
14880	252	74	271	229	1449
14900	245	74	271	250	1435
14920	247	74	271	222	1461
14940	254	74	272	231	1444
14960	250	74	271	245	1435
14980	247	74	269	238	1447
15000	242	74	272	251	1436
15020	251	74	271	248	1431
15040	253	74	272	239	1437
15060	250	73	271	232	1449
15080	243	74	270	259	1429
15100	247	74	270	233	1451
15120	242	74	271	231	1457
15140	263	74	270	225	1443
15160	251	74	272	249	1429
15180	249	74	272	241	1439
15200	261	74	271	245	1424
15220	253	74	270	247	1431
15240	245	74	271	249	1436
15260	252	74	271	255	1423
15280	246	74	271	233	1451
15300	245	74	270	241	1445
15320	249	74	271	227	1454
15340	254	74	271	241	1435
15360	256	74	271	244	1430
15380	250	74	270	230	1451
15400	250	74	270	228	1453
15420	251	74	270	248	1432
15440	255	74	270	234	1442
15460	250	74	271	234	1446
15480	252	74	271	246	1432
15500	253	74	271	249	1428
15520	256	74	270	243	1432
15540	256	74	271	228	1446
15560	260	74	271	234	1436
15580	247	74	271	242	1441
15600	252	74	270	218	1461
15620	246	74	271	247	1437
15640	259	74	271	237	1434
15660	247	74	273	241	1440
15680	249	74	271	229	1452
15700	247	74	270	228	1456
15720	248	74	271	229	1453
15740	253	74	271	247	1430
15760	254	74	271	233	1443
15780	250	74	271	251	1429
15800	254	73	272	229	1447
15820	252	74	271	232	1446
15840	252	74	271	228	1450
15860	252	74	272	226	1451
15880	258	74	270	239	1434
15900	251	74	272	234	1444
15920	258	74	270	230	1443
15940	252	74	272	245	1432
15960	251	74	271	239	1440
15980	251	74	270	235	1445
16000	243	74	269	243	1446
16020	253	74	270	231	1447
16040	251	74	271	236	1443
16060	244	74	270	251	1436
16080	248	74	270	238	1445
16100	247	74	271	230	1453
16120	254	74	271	221	1455
16140	257	74	271	229	1444
16160	258	74	271	223	1449
16180	253	74	271	228	1449
16200	250	74	270	248	1433
16220	247	74	271	233	1450
16240	250	74	270	238	1443
16260	245	74	270	229	1457
16280	249	74	271	249	1432
16300	258	74	271	231	1441
16320	255	74	270	236	1440
16340	242	74	272	245	1442
16360	253	74	271	243	1434
16380	258	74	271	226	1446
16400	245	74	271	242	1443
16420	247	74	271	229	1454
16440	259	74	270	236	1436
16460	263	74	270	228	1440
16480	262	74	271	247	1421
16500	239	74	271	258	1433
16520	256	74	270	241	1434
16540	250	74	272	233	1446
16560	257	74	270	227	1447
16580	254	74	272	241	1434
16600	252	74	272	239	1438
16620	248	74	271	249	1433
16640	252	74	271	248	1430
16660	252	74	271	240	1438
16680	245	74	270	240	1446
16700	242	74	271	236	1452
16720	255	74	271	236	1439
16740	249	74	271	224	1457
16760	253	74	270	232	1446
16780	252	74	271	241	1437
16800	258	74	272	232	1439
16820	251	74	270	240	1440
16840	252	74	270	240	1439
16860	259	74	271	235	1436
16880	254	74	271	251	1425
16900	247	74	272	211	1471
16920	248	74	270	233	1450
16940	248	74	271	241	1441
16960	253	74	271	241	1436
16980	263	74	270	251	1417
17000	246	74	270	223	1462
17020	255	74	271	247	1428
17040	251	74	271	216	1463
17060	257	74	271	231	1442
17080	246	74	270	241	1444
17100	245	74	270	236	1450
17120	241	74	271	251	1438
17140	252	74	272	252	1425
17160	255	74	272	221	1453
17180	250	74	271	236	1444
17200	255	74	271	235	1440
17220	250	74	271	238	1442
17240	259	74	270	238	1434
17260	251	74	272	239	1439
17280	251	74	271	247	1432
17300	253	74	272	253	1423
17320	244	74	270	242	1445
17340	249	74	271	246	1435
17360	256	74	270	230	1445
17380	248	74	271	236	1446
17400	252	74	271	254	1424
17420	261	74	270	236	1434
17440	250	74	270	244	1437
17460	255	74	272	241	1433
17480	259	74	270	241	1431
17500	246	74	271	244	1440
17520	249	74	271	240	1441
17540	246	74	271	247	1437
17560	250	74	271	222	1458
17580	245	74	271	237	1448
17600	251	74	270	231	1449
17620	251	74	271	224	1455
17640	253	74	272	236	1440
17660	256	74	271	222	1452
17680	247	74	271	234	1449
17700	248	74	271	257	1425
17720	257	74	270	238	1436
17740	256	74	271	245	1429
17760	254	74	271	235	1441
17780	246	74	270	229	1456
17800	248	74	272	237	1444
17820	251	74	270	240	1440
17840	255	74	271	233	1442
17860	259	74	271	233	1438
17880	248	74	272	236	1445
17900	249	74	271	233	1448
17920	252	74	271	241	1437
17940	246	74	271	235	1449
17960	255	74	270	249	1427
17980	249	74	271	246	1435
18000	252	74	271	226	1452
18020	258	74	271	229	1443
18040	245	74	271	234	1451
18060	252	74	271	237	1441
18080	245	74	271	234	1451
18100	255	74	270	254	1422
18120	251	74	271	236	1443
18140	250	74	272	237	1442
18160	255	74	271	230	1445
18180	250	74	270	236	1445
18200	254	74	271	233	1443
18220	251	74	271	244	1435
18240	254	73	272	230	1446
18260	255	74	272	240	1434
18280	249	74	272	231	1449
18300	246	74	272	236	1447
18320	254	74	271	232	1444
18340	244	74	270	226	1461
18360	255	74	272	226	1448
18380	247	74	270	251	1433
18400	251	74	271	234	1445
18420	257	74	270	240	1434
18440	261	74	270	238	1432
18460	257	74	272	251	1421
18480	249	74	270	229	1453
18500	241	74	270	244	1446
18520	261	74	271	239	1430
18540	250	74	271	240	1440
18560	247	74	271	227	1456
18580	255	74	271	229	1446
18600	255	74	271	236	1439
18620	249	74	271	253	1428
18640	261	74	271	228	1441
18660	262	74	271	229	1439
18680	253	74	272	244	1432
18700	245	74	270	230	1456
18720	260	74	270	236	1435
18740	245	74	272	233	1451
18760	246	74	270	245	1440
