## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
540	0.04677489	0.01916954	0.02447887	0.02971429	0.03118183	0.03518074	0.04139880	0.04437234	0.04393528	0.02949575	0.04004049	0.03450054	0.02487558	0.04096821	0.03514431	0.04348785	0.03856196	0.01706868	0.03672356	0.04230093	0.03920540	0.02535174	0.02079150	0.04514481	0.05801078	0.03059388	0.03861857	0.04290888
560	0.04001347	0.01514606	0.02026557	0.03112228	0.03082116	0.04161021	0.04597141	0.04100158	0.03659656	0.02442452	0.03757336	0.02997852	0.02590619	0.03538285	0.03625394	0.03548493	0.04239721	0.01925305	0.04360017	0.04113857	0.04587492	0.01947040	0.02523632	0.04322819	0.05732625	0.03919853	0.05558702	0.04013675
580	0.05279740	0.02177073	0.02807277	0.03606269	0.03265695	0.02702771	0.03835706	0.03628822	0.04044892	0.02150380	0.04247605	0.04458979	0.02059042	0.04860249	0.03338924	0.03487643	0.03687221	0.01711552	0.04792751	0.04381847	0.05211024	0.02136844	0.02264706	0.03654929	0.04385595	0.04213429	0.04333342	0.03275689
600	0.05639944	0.02136268	0.02087644	0.02390332	0.02729723	0.03316257	0.03794898	0.04343609	0.03849796	0.02481223	0.04406643	0.03831001	0.01643776	0.04337233	0.04704367	0.03898148	0.03196783	0.01603841	0.04531916	0.03593314	0.04609218	0.02397254	0.02413525	0.04027435	0.04022560	0.04033121	0.05354843	0.04625330
620	0.04655985	0.01724387	0.02657672	0.02690238	0.03107259	0.02311253	0.04610479	0.04249536	0.04283437	0.02999793	0.04187261	0.03765344	0.02822875	0.04129410	0.03827695	0.03707743	0.04366601	0.01614694	0.04302644	0.03417964	0.04315612	0.02526705	0.02177861	0.04718872	0.04032270	0.04144020	0.04907540	0.03744848
640	0.04987589	0.02093392	0.02426825	0.02411532	0.03461162	0.03488938	0.04655107	0.03562352	0.04462726	0.02344178	0.03250838	0.04307922	0.01507657	0.03698760	0.03879996	0.03647957	0.05147899	0.01453729	0.04800913	0.03914207	0.04522645	0.02400582	0.02289522	0.03632266	0.03766335	0.05025000	0.04877559	0.03982413
660	0.04396842	0.01798820	0.02397838	0.02509984	0.03187778	0.03241049	0.03749331	0.04448818	0.04359799	0.02960179	0.03979127	0.03044761	0.03465252	0.05032210	0.04472627	0.03822017	0.04319812	0.01450249	0.03971880	0.04148016	0.05040580	0.02487401	0.02101482	0.04017620	0.03099530	0.04226329	0.04406753	0.03863917
680	0.03297380	0.02236048	0.03318264	0.02704924	0.03524633	0.03523279	0.04500565	0.04676046	0.03773933	0.02269534	0.04812443	0.03095534	0.02494871	0.03583369	0.03929591	0.04333208	0.04118001	0.02362734	0.04057528	0.03958129	0.04465312	0.02281585	0.02115529	0.04234380	0.03710224	0.04342080	0.04904057	0.03376818
700	0.05479748	0.01917003	0.02907651	0.02569989	0.03832021	0.04478462	0.04453882	0.03633484	0.03442515	0.02387365	0.03539940	0.03338816	0.02518909	0.04434402	0.03981467	0.03163195	0.03751574	0.01654329	0.04719740	0.03972938	0.05152425	0.02923008	0.02325307	0.04271658	0.03848316	0.03913610	0.04498536	0.02889707
720	0.03967652	0.01989522	0.02101322	0.02455228	0.04046172	0.02972312	0.04105774	0.04920425	0.03545130	0.03113634	0.04135754	0.04028322	0.02129457	0.04048105	0.03995567	0.03795621	0.04234207	0.00957991	0.03741169	0.04076510	0.04904725	0.02938574	0.02448515	0.04015488	0.03678501	0.06095924	0.04088995	0.03469406
740	0.04330652	0.01853523	0.02003857	0.02618101	0.03041337	0.03691689	0.04276328	0.03559820	0.03490178	0.02937500	0.03917978	0.03549140	0.02950060	0.04682734	0.04242830	0.03572063	0.04769935	0.01527820	0.04894381	0.04125672	0.04535138	0.02108413	0.01774546	0.04420114	0.06297700	0.03749253	0.03509143	0.03570096
760	0.03983820	0.02117965	0.01948770	0.02447392	0.03471666	0.03119484	0.04061402	0.03876692	0.03700576	0.03092486	0.03735230	0.03565290	0.02225586	0.04271304	0.03868552	0.04092320	0.04130027	0.02065733	0.04451366	0.04648084	0.05317736	0.02897146	0.02285614	0.03817869	0.03980791	0.04786889	0.04088021	0.03952188
780	0.04969835	0.02319970	0.02262472	0.02914274	0.03651034	0.04061172	0.05039395	0.03569252	0.03428171	0.02112923	0.02292441	0.03657589	0.03546801	0.03939205	0.03548197	0.04403912	0.03658050	0.01867403	0.03430022	0.04691586	0.03261793	0.02321919	0.02383567	0.03491601	0.04972177	0.04601855	0.05392160	0.04211221
800	0.03468511	0.02280701	0.02951643	0.02576196	0.02580403	0.03515294	0.04164514	0.04564429	0.04401784	0.02045228	0.03946070	0.03355553	0.02885569	0.03789291	0.03993692	0.04456821	0.04262270	0.02277136	0.03729732	0.04107935	0.05030423	0.02715087	0.01990863	0.04626831	0.03588526	0.03531967	0.04805612	0.04357919
820	0.04086192	0.02244062	0.02676484	0.03263992	0.02743132	0.03713786	0.03324404	0.05013813	0.04017226	0.02372219	0.03554368	0.03779111	0.03047323	0.04531113	0.03893249	0.03983303	0.04951376	0.01732013	0.03378767	0.03767537	0.04890013	0.02307995	0.02125109	0.04311436	0.03380724	0.03695052	0.05482555	0.03733647
