## trace file of reporting unit Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
4120	0.13021428	0.03440073	0.10996824	0.09509094	0.63032582
4140	0.10223674	0.03196290	0.11849083	0.10571353	0.64159600
4160	0.11269496	0.02529244	0.12340251	0.10240568	0.63620441
4180	0.11525291	0.03169807	0.11393911	0.11361556	0.62549435
4200	0.11510692	0.04005102	0.12106313	0.09923817	0.62454076
4220	0.10826436	0.03855196	0.13065413	0.11516957	0.60735998
4240	0.12016552	0.03496122	0.12637179	0.09165015	0.62685132
4260	0.11671214	0.03044876	0.11774667	0.10821470	0.62687774
4280	0.11181696	0.03820873	0.13194545	0.09768979	0.62033907
4300	0.12956009	0.03103426	0.10843900	0.10241472	0.62855193
4320	0.10682669	0.03049042	0.12258000	0.10172646	0.63837643
4340	0.10617605	0.03684815	0.10441512	0.10600433	0.64655634
4360	0.10964832	0.03114580	0.12812654	0.10827442	0.62280493
4380	0.10567038	0.03388497	0.12134960	0.11530859	0.62378646
4400	0.11203207	0.02833402	0.11908728	0.10795003	0.63259659
4420	0.10452167	0.03835320	0.11584707	0.09816870	0.64310936
4440	0.12168253	0.03524788	0.10835534	0.08664245	0.64807180
4460	0.11179089	0.03510253	0.12541714	0.10321679	0.62447264
4480	0.11941240	0.02894437	0.11769582	0.10553008	0.62841732
4500	0.11337060	0.03044630	0.12483402	0.09799591	0.63335317
4520	0.10738325	0.03669210	0.13139141	0.09824740	0.62628585
4540	0.11261687	0.03111690	0.11175852	0.10697220	0.63753551
4560	0.12267157	0.03315763	0.10171908	0.10738187	0.63506985
4580	0.11408437	0.03553288	0.12993518	0.09694133	0.62350624
4600	0.10728151	0.03699079	0.12996809	0.10991747	0.61584214
4620	0.09884364	0.02788171	0.13464173	0.09912903	0.63950389
4640	0.09807969	0.03262497	0.11623591	0.11572727	0.63733216
4660	0.10486295	0.03462496	0.12807978	0.10156770	0.63086461
4680	0.10975489	0.03349226	0.12690404	0.08663962	0.64320919
4700	0.11099721	0.03795822	0.12002327	0.09790682	0.63311448
4720	0.10540621	0.03653245	0.12736963	0.11335650	0.61733521
4740	0.11871787	0.03829811	0.12514058	0.10984993	0.60799352
4760	0.10128792	0.03668748	0.12029745	0.09925183	0.64247533
